location_id,Name,long_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,longitude,latitude,p_1880,p_1890,p_1900,p_1910,G_1880,S_1880,G_1890,S_1890,D_1900,S_1900,G_1910,S_1910,prob,places,
1035,Pfannsdorf,14,38,8,46,33,18,14.6356,46.555,92,86,72,77,2,90,1,85,7,65,0,77,0.0217391304,Zellbach,0
1036,Polena,14,38,24,46,32,22,14.64,46.5394,31,29,32,32,0,31,0,29,0,32,0,32,0,Achalm,#N/A
1037,Proboj,14,35,38,46,33,43,14.5939,46.5619,1941,1951,1961,1971,0,194,0,190,2,187,0,186,0,Hart,#DIV/0!
1038,Rain,14,35,36,46,32,23,14.5933,46.5397,57,55,45,40,2,55,4,51,0,45,9,31,0.0350877193,Lavamünd,#DIV/0!
1039,Sagerberg,14,39,17,46,32,25,14.6547,46.5403,145,117,134,132,0,145,0,117,0,134,0,132,0,Magdalensberg left border,#DIV/0!
1040,Sielach,14,37,7,46,32,33,14.6186,46.5425,147,157,156,153,2,145,23,134,40,116,99,54,0.0136054422,Magdalensberg right border,#DIV/0!
1041,Sittersdorf,14,36,21,46,32,39,14.6058,46.5442,216,229,194,208,8,208,8,221,14,180,27,181,0.037037037,Pfarrdorf,#DIV/0!
1042,Sonnegg,14,38,26,46,33,38,14.6406,46.5606,41,39,39,28,3,38,6,33,9,30,12,16,0.0731707317,Plestätten,#DIV/0!
1043,Tihoja (Tichoja),14,38,10,46,33,4,14.6361,46.5511,68,74,65,55,12,56,6,68,12,53,8,47,0.1764705882,Unterbergen,#DIV/0!
1044,Weinberg,14,35,56,46,32,56,14.5989,46.5489,0,64,0,0,0,0,0,64,0,0,0,0,#DIV/0!,Wunderstätten,0
1045,Winkel,14,35,18,46,32,17,14.5883,46.5381,28,32,25,26,0,28,0,32,0,25,0,26,0,Zeil,0
1046,Wriessnitz,14,39,1,46,33,6,14.6503,46.5517,19,11,15,16,0,19,0,11,0,15,0,16,0,Johannesberg,#DIV/0!
1047,,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Legerbuch,#DIV/0!
1048,Gerichtsbezirk Eberstein,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Löschenthal,#DIV/0!
1049,Gemeinde Eberstein,,,,,,,,,2318,2147,1972,2214,2298,20,2145,2,1972,0,2168,46,0.9913718723,Rabensteinergreuth left border,#DIV/0!
1050,Baumgarten,14,33,51,46,47,54,14.5642,46.7983,35,41,32,50,35,0,41,0,32,0,50,0,1,Rabensteinergreuth right border,#DIV/0!
1051,Eberstein,14,33,35,46,48,37,14.5597,46.8103,645,550,546,706,645,0,550,0,546,0,706,0,1,Unterhaus,#DIV/0!
1052,Hochfeistritz,14,35,43,46,46,52,14.5953,46.7811,286,280,243,274,286,0,278,2,243,0,274,0,1,Winternigg (Witternig),#DIV/0!
1053,Gutschen left border,14,32,6,46,46,45,14.535,46.7792,92,75,78,88,92,0,75,0,78,0,88,0,1,Rabenstein,#DIV/0!
1054,Gutschen right border,14,32,47,46,47,35,14.5464,46.7931,1942,1952,1962,1972,92,0,75,0,77,0,87,0,0.0473738414,St. Lorenzen (Lorenzenberg),0.1304347826
1055,Kaltenberg left border,14,34,6,46,45,54,14.5683,46.765,126,124,99,91,126,0,124,0,99,0,84,7,1,Agoritschach,#N/A
1056,Kaltenberg right border,14,34,19,46,46,50,14.5719,46.7806,125,123,98,89,125,0,123,0,98,0,83,6,1,Arnoldstein,#N/A
1057,Kulm,14,34,13,46,48,36,14.5703,46.81,35,27,15,15,35,0,27,0,15,0,15,0,1,Gailitz,0
1058,Mirnig,14,35,11,46,48,9,14.5864,46.8025,212,206,162,156,212,0,206,0,162,0,156,0,1,Greuth,#DIV/0!
1059,St. Oswald,14,35,16,46,49,11,14.5878,46.8197,287,286,280,283,287,0,286,0,280,0,283,0,1,Hart,#DIV/0!
1060,Rüggen,14,36,30,46,45,59,14.6083,46.7664,98,78,76,76,98,0,78,0,76,0,70,6,1,Korpitsch,#DIV/0!
1061,St. Walburgen,14,32,53,46,46,7,14.5481,46.7686,285,282,266,299,265,20,282,0,266,0,272,27,0.9298245614,Krainberg,#DIV/0!
1062,Gemeinde St. Johann am Brückl,,,,,,,,,2297,2053,1973,2142,1525,772,1496,557,1919,54,1906,236,0.6639094471,Krainegg,#DIV/0!
1063,Brückl,14,31,52,46,44,56,14.5311,46.7489,343,287,330,354,309,34,284,3,330,0,354,0,0.9008746356,St. Leonhard bei Siebenbrünn,0.6944444444
1064,Christofberg left border,14,28,9,46,42,21,14.4692,46.7058,24,21,16,22,8,16,1,20,15,1,11,11,0.3333333333,Lind,#DIV/0!
1065,Christofberg right border,14,29,12,46,42,56,14.4867,46.7156,24,20,16,21,8,16,0,20,15,1,11,10,0.3333333333,Maglern,#DIV/0!
1066,Eppersdorf,14,30,31,46,42,42,14.5086,46.7117,91,96,90,105,49,42,5,91,88,2,101,4,0.5384615385,Neuhaus,#DIV/0!
1067,St. Filippen bei Reinegg,14,29,53,46,42,7,14.4981,46.7019,209,195,189,200,35,174,64,131,162,27,117,83,0.1674641148,Pessendellach,#DIV/0!
1068,St. Gregorn,14,31,31,46,43,39,14.5253,46.7275,60,53,48,61,52,8,42,11,48,0,61,0,0.8666666667,Pöckau,#DIV/0!
1069,Hart,14,31,8,46,45,9,14.5189,46.7525,20,20,25,51,20,0,20,0,25,0,51,0,1,Radendorf,#DIV/0!
